"","Canadian Carrot Prices"
"1",6209.4
"2",6524.6
"3",6633.9
"4",6584.9
"5",6846
"6",6941.3
"7",6847.8
"8",6986.3
"9",6654.4
"10",6563.6
"11",6719.9
"12",6857.1
"13",6804
"14",6781.4
"15",6786.5
"16",6602.8
"17",6747.7
"18",7026.6
"19",6983.4
"20",6744.4
"21",6750.1
"22",6657.3
"23",6765.9
"24",7017.5
"25",6710.6
"26",6652.3
"27",6774.3
"28",6695.2
"29",6951.8
"30",7014.6
"31",7072
"32",7076.6
"33",6988.2
"34",6891.9
"35",6993.4
"36",7237.9
"37",6941.1
"38",6929.2
"39",7035
"40",7084.8
"41",7066.6
"42",7095.1
"43",7107.4
"44",7338.2
"45",7282.3
"46",7500.1
"47",7452
"48",7391.3
"49",7276.2
"50",7334.3
"51",7667.3
"52",7908.6
"53",7965.2
"54",8137
"55",8241.9
"56",8180.6
"57",8095.2
"58",8111.9
"59",8407.8
"60",8290.4
"61",8090.3
"62",8286.4
"63",8446
"64",8520.4
"65",8811.8
"66",8794.5
"67",8937.7
"68",9124.8
"69",9244.6
"70",9288
"71",9531
"72",9603.5
"73",9314.1
"74",9412.9
"75",9527.8
"76",9607.5
"77",9647.5
"78",9772.4
"79",9747
"80",9775.5
"81",9851.3
"82",9801.9
"83",10176
"84",9892.3
"85",9888.4
"86",9801.4
"87",9768.6
"88",9746.1
"89",9927.1
"90",10113.2
"91",10070.6
"92",10214.4
"93",10112
"94",10112
"95",10212.8
"96",10233.7
"97",10129.6
"98",10186.6
"99",10300.7
"100",10330.1
"101",10424.1
"102",10258.2
"103",10263.7
"104",10456.7
"105",11209.3
"106",11499.2
"107",10846.6
"108",10815.3
"109",10753.3
"110",10589.3
"111",10748.1
"112",10604.3
"113",10670
"114",10835
"115",10650.8
"116",10696.1
"117",11339
"118",10972.9
"119",11000.7
"120",11308
"121",11246
"122",11350.7
"123",11566.1
"124",11578.6
"125",11493.3
"126",11473.4
"127",11552.2
"128",11560.6
"129",11702.7
"130",11469
"131",11497.8
"132",11464.3
"133",11461.5
"134",11785.3
"135",11427.4
"136",11496.8
"137",11423.6
"138",11418.5
"139",11307.7
"140",11263.9
"141",11473.7
"142",11627.6
"143",11754.5
"144",11650.6
"145",11920
"146",11940.5
"147",12560.4
"148",12414.2
"149",12247.5
"150",12428.5
